"species","elisa","animal","tissue","Nano-QuIC_-2","Nano-QuIC_-3","Nano-QuIC_-4","Nano-QuIC_-5","Nano-QuIC_-6","Nano-QuIC_-7","Nano-QuIC_-8","Nano-QuIC_-9","Nano-QuIC_-10","Nano-QuIC_-11","Nano-QuIC_-1.3","Nano-QuIC_-1.6","Nano-QuIC_-1.78","Nano-QuIC_-1.7","RT-QuIC_-2","RT-QuIC_-3","RT-QuIC_-4","RT-QuIC_-5","RT-QuIC_-6","RT-QuIC_-7","RT-QuIC_-8","RT-QuIC_-9","RT-QuIC_-10","RT-QuIC_-11","RT-QuIC_-1.3","RT-QuIC_-1.6","RT-QuIC_-1.78","RT-QuIC_-1.7"
"Moose",TRUE,"M12","Lymph Node",50,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",TRUE,"M12","Skin",100,75,0,0,0,NA,NA,NA,NA,NA,75,50,75,NA,100,0,0,0,0,NA,NA,NA,NA,NA,50,100,100,NA
"Moose",TRUE,"M3","Brainstem",100,100,100,100,75,25,25,0,0,0,NA,NA,NA,NA,0,100,100,100,100,100,75,75,50,25,NA,NA,NA,NA
"Moose",TRUE,"M3","Lymph Node",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"Moose",TRUE,"M5","Brainstem",0,100,100,25,0,0,0,0,0,50,NA,NA,NA,NA,0,100,100,0,0,0,0,0,0,0,NA,NA,NA,NA
"Moose",TRUE,"M5","Lymph Node",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",TRUE,"M6","Brainstem",100,100,100,100,100,0,25,0,0,0,NA,NA,NA,NA,0,100,75,75,25,50,25,0,0,0,NA,NA,NA,NA
"Moose",TRUE,"M6","Lymph Node",25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",TRUE,"M6","Skin",25,6.25,0,6.25,0,NA,NA,NA,NA,NA,90,55,15,NA,50,18.75,0,0,0,NA,NA,NA,NA,NA,45,65,80,NA
"Moose",TRUE,"M7","Brainstem",100,100,100,100,50,25,0,0,0,0,NA,NA,NA,NA,100,100,100,100,100,25,0,0,0,0,NA,NA,NA,NA
"Moose",TRUE,"M7","Lymph Node",100,100,100,25,0,0,0,0,0,NA,NA,NA,NA,NA,100,100,100,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Moose",TRUE,"M7","Skin",87.5,68.75,12.5,6.25,0,NA,NA,NA,NA,NA,100,100,100,NA,93.75,68.75,43.75,0,0,NA,NA,NA,NA,NA,100,100,100,NA
"Moose",TRUE,"M8","Brainstem",100,100,100,100,100,100,100,25,75,100,NA,NA,NA,NA,0,100,100,100,100,100,75,75,25,25,NA,NA,NA,NA
